Nationality,Education,Locality,Geographic_Area,Sex,0 years to 14 years,0-4,9-May,14-Oct,15 years to 64 years,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 years and older,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Ghanaian by birth,JSS/JHS,Urban,Savelugu Municipal,Female,677,0,0,677,2670,1584,446,324,188,66,40,14,4,4,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Middle,Rural,Savelugu Municipal,Male,0,0,0,0,22,0,0,0,0,0,0,5,5,7,5,8,5,2,0,1,0,0,0,0
Ghanaian by birth,Middle,Rural,Savelugu Municipal,Female,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Middle,Urban,Savelugu Municipal,Male,0,0,0,0,64,0,0,0,0,0,0,6,20,19,19,49,21,16,6,5,1,0,0,0
Ghanaian by birth,Middle,Urban,Savelugu Municipal,Female,0,0,0,0,27,0,0,0,0,0,0,2,3,12,10,5,2,2,0,1,0,0,0,0
Ghanaian by birth,SSS/SHS,Rural,Savelugu Municipal,Male,4,0,0,4,1450,350,499,300,158,64,45,31,3,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,SSS/SHS,Rural,Savelugu Municipal,Female,3,0,0,3,684,232,281,118,33,11,4,4,1,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,SSS/SHS,Urban,Savelugu Municipal,Male,10,0,0,10,4918,1452,1951,585,388,236,175,115,16,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,SSS/SHS,Urban,Savelugu Municipal,Female,5,0,0,5,3558,1265,1463,506,199,71,37,15,2,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Secondary,Rural,Savelugu Municipal,Male,0,0,0,0,43,4,3,4,2,1,4,4,10,4,7,9,6,3,0,0,0,0,0,0
Ghanaian by birth,Secondary,Rural,Savelugu Municipal,Female,0,0,0,0,11,1,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Secondary,Urban,Savelugu Municipal,Male,3,0,0,3,179,3,15,10,20,16,20,15,39,22,19,32,16,6,5,3,2,0,0,0
Ghanaian by birth,Secondary,Urban,Savelugu Municipal,Female,0,0,0,0,65,3,15,9,10,3,6,8,6,5,0,6,1,2,0,2,1,0,0,0
Ghanaian by birth,Voc/technical/commercial,Rural,Savelugu Municipal,Male,0,0,0,0,39,0,7,14,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Voc/technical/commercial,Rural,Savelugu Municipal,Female,0,0,0,0,8,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Voc/technical/commercial,Urban,Savelugu Municipal,Male,0,0,0,0,115,3,4,67,18,5,8,5,1,2,2,2,2,0,0,0,0,0,0,0
Ghanaian by birth,Voc/technical/commercial,Urban,Savelugu Municipal,Female,0,0,0,0,59,0,4,35,11,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Post middle/secondary Certificate,Rural,Savelugu Municipal,Male,0,0,0,0,7,0,0,1,1,2,1,0,1,0,1,2,1,0,0,1,0,0,0,0
Ghanaian by birth,Post middle/secondary Certificate,Rural,Savelugu Municipal,Female,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Post middle/secondary Certificate,Urban,Savelugu Municipal,Male,0,0,0,0,73,1,13,15,17,9,4,3,1,7,3,8,5,2,1,0,0,0,0,0
Ghanaian by birth,Post middle/secondary Certificate,Urban,Savelugu Municipal,Female,0,0,0,0,48,4,6,8,17,1,3,3,1,2,3,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Post middle/secondary Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,54,1,12,12,17,5,3,1,1,1,1,3,1,1,1,0,0,0,0,0
Ghanaian by birth,Post middle/secondary Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,10,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Post middle/secondary Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,277,0,27,91,76,39,20,8,5,6,5,7,4,2,1,0,0,0,0,0
Ghanaian by birth,Post middle/secondary Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,143,16,35,38,29,9,4,2,3,5,2,2,0,0,2,0,0,0,0,0
Ghanaian by birth,Tertiary/HND,Rural,Savelugu Municipal,Male,0,0,0,0,171,1,94,40,25,7,3,0,0,0,1,1,1,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary/HND,Rural,Savelugu Municipal,Female,0,0,0,0,76,16,37,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary/HND,Urban,Savelugu Municipal,Male,0,0,0,0,620,17,204,125,113,83,37,18,17,4,2,5,3,1,1,0,0,0,0,0
Ghanaian by birth,Tertiary/HND,Urban,Savelugu Municipal,Female,0,0,0,0,276,29,124,55,41,17,5,2,1,0,2,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Bachelor's Degree,Rural,Savelugu Municipal,Male,0,0,0,0,182,47,36,28,32,20,11,3,3,1,1,7,6,1,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Bachelor's Degree,Rural,Savelugu Municipal,Female,0,0,0,0,44,22,6,8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Bachelor's Degree,Urban,Savelugu Municipal,Male,0,0,0,0,824,72,68,144,215,113,110,44,27,14,17,15,11,2,2,0,0,0,0,0
Ghanaian by birth,Tertiary - Bachelor's Degree,Urban,Savelugu Municipal,Female,0,0,0,0,210,7,39,52,64,29,5,4,7,3,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Post graduate Certificate/Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,89,0,26,33,22,2,2,1,2,0,1,3,1,1,0,1,0,0,0,0
Ghanaian by birth,Tertiary - Post graduate Certificate/Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,10,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Post graduate Certificate/Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,762,0,293,245,126,40,24,10,7,8,9,4,2,2,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Post graduate Certificate/Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,312,0,103,128,51,16,4,3,1,5,1,1,1,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Master's Degree,Rural,Savelugu Municipal,Male,0,0,0,0,10,0,0,1,3,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Master's Degree,Rural,Savelugu Municipal,Female,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Master's Degree,Urban,Savelugu Municipal,Male,0,0,0,0,115,0,4,8,22,26,24,14,8,5,4,4,3,1,0,0,0,0,0,0
Ghanaian by birth,Tertiary - Master's Degree,Urban,Savelugu Municipal,Female,0,0,0,0,14,0,0,1,2,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - PhD,Rural,Savelugu Municipal,Male,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - PhD,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Tertiary - PhD,Urban,Savelugu Municipal,Male,0,0,0,0,12,0,0,1,1,2,3,1,2,1,1,1,0,0,1,0,0,0,0,0
Ghanaian by birth,Tertiary - PhD,Urban,Savelugu Municipal,Female,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Other (specify),Rural,Savelugu Municipal,Male,0,0,0,0,7,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Other (specify),Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Other (specify),Urban,Savelugu Municipal,Male,0,0,0,0,12,0,3,1,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Other (specify),Urban,Savelugu Municipal,Female,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Never attended,Rural,Savelugu Municipal,Male,0,0,0,0,9,2,2,0,2,0,2,0,1,0,0,3,2,0,0,1,0,0,0,0
Dual Nationality (Ghanaian & other),Never attended,Rural,Savelugu Municipal,Female,0,0,0,0,11,3,0,3,1,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Dual Nationality (Ghanaian & other),Never attended,Urban,Savelugu Municipal,Male,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Never attended,Urban,Savelugu Municipal,Female,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Nursery,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Nursery,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Nursery,Urban,Savelugu Municipal,Male,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Nursery,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Kindergarten,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Kindergarten,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Kindergarten,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Kindergarten,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Primary,Rural,Savelugu Municipal,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Primary,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Primary,Urban,Savelugu Municipal,Male,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Primary,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),JSS/JHS,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),JSS/JHS,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),JSS/JHS,Urban,Savelugu Municipal,Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),JSS/JHS,Urban,Savelugu Municipal,Female,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Middle,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Middle,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Middle,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Middle,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),SSS/SHS,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),SSS/SHS,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),SSS/SHS,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),SSS/SHS,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Secondary,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Secondary,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Secondary,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Secondary,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Voc/technical/commercial,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Voc/technical/commercial,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Voc/technical/commercial,Urban,Savelugu Municipal,Male,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Voc/technical/commercial,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Post middle/secondary Certificate,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Post middle/secondary Certificate,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Post middle/secondary Certificate,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Post middle/secondary Certificate,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Post middle/secondary Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Post middle/secondary Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Post middle/secondary Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Post middle/secondary Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary/HND,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary/HND,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary/HND,Urban,Savelugu Municipal,Male,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary/HND,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Bachelor's Degree,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Bachelor's Degree,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Bachelor's Degree,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Bachelor's Degree,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Post graduate Certificate/Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Post graduate Certificate/Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Post graduate Certificate/Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Post graduate Certificate/Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Master's Degree,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Master's Degree,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Master's Degree,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - Master's Degree,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - PhD,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - PhD,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - PhD,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Tertiary - PhD,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Other (specify),Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Other (specify),Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Other (specify),Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dual Nationality (Ghanaian & other),Other (specify),Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Never attended,Rural,Savelugu Municipal,Male,7,5,0,2,27,0,3,1,4,1,2,6,5,1,4,6,2,1,3,0,0,0,0,0
Ghanaian by naturalisation,Never attended,Rural,Savelugu Municipal,Female,4,0,2,2,35,3,2,5,8,5,4,2,3,1,2,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Never attended,Urban,Savelugu Municipal,Male,4,3,1,0,10,4,1,1,2,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0
Ghanaian by naturalisation,Never attended,Urban,Savelugu Municipal,Female,2,0,2,0,11,2,1,2,3,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0
Ghanaian by naturalisation,Nursery,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Nursery,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Nursery,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Nursery,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Kindergarten,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Kindergarten,Rural,Savelugu Municipal,Female,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Kindergarten,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Kindergarten,Urban,Savelugu Municipal,Female,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Primary,Rural,Savelugu Municipal,Male,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Primary,Rural,Savelugu Municipal,Female,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Primary,Urban,Savelugu Municipal,Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Primary,Urban,Savelugu Municipal,Female,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,JSS/JHS,Rural,Savelugu Municipal,Male,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,JSS/JHS,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,JSS/JHS,Urban,Savelugu Municipal,Male,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,JSS/JHS,Urban,Savelugu Municipal,Female,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
