Place_of_birth,Education,Locality,Sex,0 years to 14 years,0-4,9-May,14-Oct,15 years to 64 years,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 years and older,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Locality of enumeration,SSS/SHS,Rural,Female,3,0,0,3,526,198,224,75,17,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,SSS/SHS,Urban,Male,9,0,0,9,3301,752,1195,517,351,213,157,107,9,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,SSS/SHS,Urban,Female,5,0,0,5,2173,628,858,426,162,60,28,9,2,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Secondary,Rural,Male,0,0,0,0,32,4,3,4,1,1,2,4,5,3,5,8,5,3,0,0,0,0,0,0
Locality of enumeration,Secondary,Rural,Female,0,0,0,0,7,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Secondary,Urban,Male,3,0,0,3,161,3,15,10,18,14,19,12,33,21,16,29,16,5,4,3,1,0,0,0
Locality of enumeration,Secondary,Urban,Female,0,0,0,0,59,3,15,9,8,2,5,7,6,4,0,4,1,1,0,1,1,0,0,0
Locality of enumeration,Voc/technical/commercial,Rural,Male,0,0,0,0,36,0,6,14,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Voc/technical/commercial,Rural,Female,0,0,0,0,7,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Voc/technical/commercial,Urban,Male,0,0,0,0,98,3,4,56,15,5,7,4,1,2,1,2,2,0,0,0,0,0,0,0
Locality of enumeration,Voc/technical/commercial,Urban,Female,0,0,0,0,53,0,3,33,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Locality of enumeration,Post middle/secondary Certificate,Rural,Male,0,0,0,0,5,0,0,1,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0
Locality of enumeration,Post middle/secondary Certificate,Rural,Female,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Post middle/secondary Certificate,Urban,Male,0,0,0,0,65,1,12,10,15,9,4,3,1,7,3,5,3,1,1,0,0,0,0,0
Locality of enumeration,Post middle/secondary Certificate,Urban,Female,0,0,0,0,33,3,4,5,10,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0
Locality of enumeration,Post middle/secondary Diploma,Rural,Male,0,0,0,0,45,1,11,9,15,5,2,0,1,1,0,1,0,0,1,0,0,0,0,0
Locality of enumeration,Post middle/secondary Diploma,Rural,Female,0,0,0,0,7,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Post middle/secondary Diploma,Urban,Male,0,0,0,0,227,0,23,73,63,32,15,8,4,6,3,6,3,2,1,0,0,0,0,0
Locality of enumeration,Post middle/secondary Diploma,Urban,Female,0,0,0,0,103,16,27,23,20,6,2,1,3,4,1,1,0,0,1,0,0,0,0,0
Locality of enumeration,Tertiary/HND,Rural,Male,0,0,0,0,160,1,87,39,25,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary/HND,Rural,Female,0,0,0,0,60,15,28,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary/HND,Urban,Male,0,0,0,0,567,17,188,117,101,75,31,18,14,4,2,5,3,1,1,0,0,0,0,0
Locality of enumeration,Tertiary/HND,Urban,Female,0,0,0,0,227,26,109,43,32,11,2,2,1,0,1,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - Bachelor's Degree,Rural,Male,0,0,0,0,152,40,33,25,28,16,7,0,2,0,1,5,4,1,0,0,0,0,0,0
Locality of enumeration,Tertiary - Bachelor's Degree,Rural,Female,0,0,0,0,36,19,5,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - Bachelor's Degree,Urban,Male,0,0,0,0,616,67,59,109,147,82,83,32,18,5,14,11,8,2,1,0,0,0,0,0
Locality of enumeration,Tertiary - Bachelor's Degree,Urban,Female,0,0,0,0,126,7,38,27,32,14,3,2,2,1,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - Post graduate Certificate/Diploma,Rural,Male,0,0,0,0,78,0,23,28,19,2,2,1,2,0,1,3,1,1,0,1,0,0,0,0
Locality of enumeration,Tertiary - Post graduate Certificate/Diploma,Rural,Female,0,0,0,0,5,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - Post graduate Certificate/Diploma,Urban,Male,0,0,0,0,280,0,43,79,81,34,20,8,4,6,5,3,1,2,0,0,0,0,0,0
Locality of enumeration,Tertiary - Post graduate Certificate/Diploma,Urban,Female,0,0,0,0,125,0,22,60,27,8,2,3,0,2,1,1,1,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - Master's Degree,Rural,Male,0,0,0,0,8,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - Master's Degree,Rural,Female,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - Master's Degree,Urban,Male,0,0,0,0,75,0,3,5,16,18,14,6,7,4,2,2,1,1,0,0,0,0,0,0
Locality of enumeration,Tertiary - Master's Degree,Urban,Female,0,0,0,0,5,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - PhD,Rural,Male,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - PhD,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - PhD,Urban,Male,0,0,0,0,6,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Tertiary - PhD,Urban,Female,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Other (specify),Rural,Male,0,0,0,0,6,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Other (specify),Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Other (specify),Urban,Male,0,0,0,0,8,0,1,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Other (specify),Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Never attended,Rural,Male,166,89,41,36,582,45,61,62,63,71,91,61,62,37,29,95,24,35,14,14,6,1,1,0
Another locality in region,Never attended,Rural,Female,263,102,84,77,2422,86,285,321,448,342,353,221,167,89,110,225,46,57,43,58,8,8,2,3
Another locality in region,Never attended,Urban,Male,72,57,7,8,314,21,25,21,31,43,50,55,35,16,17,53,13,17,8,9,5,1,0,0
Another locality in region,Never attended,Urban,Female,122,68,26,28,998,32,139,128,175,147,143,76,75,38,45,139,23,44,28,35,5,2,0,2
Another locality in region,Nursery,Rural,Male,16,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Nursery,Rural,Female,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Nursery,Urban,Male,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Nursery,Urban,Female,11,5,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Kindergarten,Rural,Male,28,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Kindergarten,Rural,Female,47,13,33,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Kindergarten,Urban,Male,44,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Kindergarten,Urban,Female,33,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Primary,Rural,Male,106,0,49,57,79,9,13,16,11,11,7,3,3,4,2,2,2,0,0,0,0,0,0,0
Another locality in region,Primary,Rural,Female,264,0,125,139,123,18,41,27,21,10,3,0,2,0,1,0,0,0,0,0,0,0,0,0
Another locality in region,Primary,Urban,Male,196,0,98,98,30,4,6,3,2,4,4,3,3,0,1,2,1,0,1,0,0,0,0,0
Another locality in region,Primary,Urban,Female,180,0,67,113,84,12,15,17,18,9,6,2,2,2,1,1,0,1,0,0,0,0,0,0
Another locality in region,JSS/JHS,Rural,Male,9,0,0,9,94,49,11,10,7,11,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,JSS/JHS,Rural,Female,16,0,0,16,185,64,44,33,28,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,JSS/JHS,Urban,Male,21,0,0,21,139,71,18,16,12,5,9,6,2,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,JSS/JHS,Urban,Female,23,0,0,23,164,70,33,27,18,7,6,2,1,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Middle,Rural,Male,0,0,0,0,4,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0
Another locality in region,Middle,Rural,Female,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Middle,Urban,Male,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,4,2,1,1,0,0,0,0,0
Another locality in region,Middle,Urban,Female,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Another locality in region,SSS/SHS,Rural,Male,0,0,0,0,90,9,21,32,15,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,SSS/SHS,Rural,Female,0,0,0,0,117,26,45,30,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,SSS/SHS,Urban,Male,0,0,0,0,1211,525,590,44,19,11,10,7,5,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,SSS/SHS,Urban,Female,0,0,0,0,1007,470,455,50,18,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Secondary,Rural,Male,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0
Another locality in region,Secondary,Rural,Female,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Secondary,Urban,Male,0,0,0,0,11,0,0,0,1,1,1,2,3,1,2,3,0,1,1,0,1,0,0,0
Another locality in region,Secondary,Urban,Female,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Another locality in region,Voc/technical/commercial,Rural,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Voc/technical/commercial,Rural,Female,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Voc/technical/commercial,Urban,Male,0,0,0,0,13,0,0,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Voc/technical/commercial,Urban,Female,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Post middle/secondary Certificate,Rural,Male,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Another locality in region,Post middle/secondary Certificate,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Post middle/secondary Certificate,Urban,Male,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0
Another locality in region,Post middle/secondary Certificate,Urban,Female,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Post middle/secondary Diploma,Rural,Male,0,0,0,0,6,0,2,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Another locality in region,Post middle/secondary Diploma,Rural,Female,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Post middle/secondary Diploma,Urban,Male,0,0,0,0,32,0,2,13,6,5,4,0,0,0,2,0,0,0,0,0,0,0,0,0
Another locality in region,Post middle/secondary Diploma,Urban,Female,0,0,0,0,12,0,5,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary/HND,Rural,Male,0,0,0,0,9,0,6,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Another locality in region,Tertiary/HND,Rural,Female,0,0,0,0,13,1,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary/HND,Urban,Male,0,0,0,0,25,0,13,2,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary/HND,Urban,Female,0,0,0,0,22,2,6,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Bachelor's Degree,Rural,Male,0,0,0,0,21,5,3,0,4,3,3,1,1,1,0,2,2,0,0,0,0,0,0,0
Another locality in region,Tertiary - Bachelor's Degree,Rural,Female,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Bachelor's Degree,Urban,Male,0,0,0,0,98,5,4,19,26,14,11,7,7,3,2,1,0,0,1,0,0,0,0,0
Another locality in region,Tertiary - Bachelor's Degree,Urban,Female,0,0,0,0,23,0,0,8,6,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Post graduate Certificate/Diploma,Rural,Male,0,0,0,0,8,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Post graduate Certificate/Diploma,Rural,Female,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Post graduate Certificate/Diploma,Urban,Male,0,0,0,0,157,0,75,57,17,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Post graduate Certificate/Diploma,Urban,Female,0,0,0,0,41,0,15,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Master's Degree,Rural,Male,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Master's Degree,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Master's Degree,Urban,Male,0,0,0,0,17,0,0,1,2,2,5,4,1,1,1,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - Master's Degree,Urban,Female,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - PhD,Rural,Male,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - PhD,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - PhD,Urban,Male,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Another locality in region,Tertiary - PhD,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Other (specify),Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Other (specify),Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Other (specify),Urban,Male,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Another locality in region,Other (specify),Urban,Female,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Never attended,Rural,Male,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Western,Never attended,Rural,Female,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Never attended,Urban,Male,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Western,Never attended,Urban,Female,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
Western,Nursery,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Nursery,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Nursery,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Nursery,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Kindergarten,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Kindergarten,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Kindergarten,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Kindergarten,Urban,Female,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Primary,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Primary,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Primary,Urban,Male,4,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Primary,Urban,Female,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,JSS/JHS,Rural,Male,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,JSS/JHS,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,JSS/JHS,Urban,Male,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,JSS/JHS,Urban,Female,0,0,0,0,5,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Middle,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Middle,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Middle,Urban,Male,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Western,Middle,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,SSS/SHS,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,SSS/SHS,Rural,Female,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,SSS/SHS,Urban,Male,0,0,0,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,SSS/SHS,Urban,Female,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Secondary,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Secondary,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Secondary,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Secondary,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Voc/technical/commercial,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Voc/technical/commercial,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Voc/technical/commercial,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Voc/technical/commercial,Urban,Female,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Western,Post middle/secondary Certificate,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Post middle/secondary Certificate,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Post middle/secondary Certificate,Urban,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Post middle/secondary Certificate,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Post middle/secondary Diploma,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Post middle/secondary Diploma,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Post middle/secondary Diploma,Urban,Male,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Post middle/secondary Diploma,Urban,Female,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary/HND,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary/HND,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary/HND,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary/HND,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Bachelor's Degree,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Bachelor's Degree,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Bachelor's Degree,Urban,Male,0,0,0,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Bachelor's Degree,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Post graduate Certificate/Diploma,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Post graduate Certificate/Diploma,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Post graduate Certificate/Diploma,Urban,Male,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Post graduate Certificate/Diploma,Urban,Female,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Tertiary - Master's Degree,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
