Age,Locality,Education,Male,Female
0,Rural,Nursery,0,0
0,Rural,Kindergarten,0,0
0,Rural,Primary,0,0
0,Rural,JSS/JHS,0,0
0,Rural,Middle,0,0
0,Rural,SSS/SHS,0,0
0,Rural,Secondary,0,0
0,Rural,Voc/technical/commercial,0,0
0,Rural,Post middle/secondary Certificate,0,0
0,Rural,Post middle/secondary Diploma,0,0
0,Rural,Tertiary/HND,0,0
0,Rural,Tertiary - Bachelor's Degree,0,0
0,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
0,Rural,Tertiary - Master's Degree,0,0
0,Rural,Tertiary - PhD,0,0
0,Rural,Other (specify),0,0
0,Urban,Never attended,1144,1073
0,Urban,Nursery,0,0
0,Urban,Kindergarten,0,0
0,Urban,Primary,0,0
0,Urban,JSS/JHS,0,0
0,Urban,Middle,0,0
0,Urban,SSS/SHS,0,0
0,Urban,Secondary,0,0
0,Urban,Voc/technical/commercial,0,0
0,Urban,Post middle/secondary Certificate,0,0
0,Urban,Post middle/secondary Diploma,0,0
0,Urban,Tertiary/HND,0,0
0,Urban,Tertiary - Bachelor's Degree,0,0
0,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
0,Urban,Tertiary - Master's Degree,0,0
0,Urban,Tertiary - PhD,0,0
0,Urban,Other (specify),0,0
1,Rural,Never attended,774,807
1,Rural,Nursery,0,0
1,Rural,Kindergarten,0,0
1,Rural,Primary,0,0
1,Rural,JSS/JHS,0,0
1,Rural,Middle,0,0
1,Rural,SSS/SHS,0,0
1,Rural,Secondary,0,0
1,Rural,Voc/technical/commercial,0,0
1,Rural,Post middle/secondary Certificate,0,0
1,Rural,Post middle/secondary Diploma,0,0
1,Rural,Tertiary/HND,0,0
1,Rural,Tertiary - Bachelor's Degree,0,0
1,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
1,Rural,Tertiary - Master's Degree,0,0
1,Rural,Tertiary - PhD,0,0
1,Rural,Other (specify),0,0
1,Urban,Never attended,1207,1203
1,Urban,Nursery,0,0
1,Urban,Kindergarten,0,0
1,Urban,Primary,0,0
1,Urban,JSS/JHS,0,0
1,Urban,Middle,0,0
1,Urban,SSS/SHS,0,0
1,Urban,Secondary,0,0
1,Urban,Voc/technical/commercial,0,0
1,Urban,Post middle/secondary Certificate,0,0
1,Urban,Post middle/secondary Diploma,0,0
1,Urban,Tertiary/HND,0,0
1,Urban,Tertiary - Bachelor's Degree,0,0
1,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
1,Urban,Tertiary - Master's Degree,0,0
1,Urban,Tertiary - PhD,0,0
1,Urban,Other (specify),0,0
2,Rural,Never attended,795,833
2,Rural,Nursery,0,0
2,Rural,Kindergarten,0,0
2,Rural,Primary,0,0
2,Rural,JSS/JHS,0,0
2,Rural,Middle,0,0
2,Rural,SSS/SHS,0,0
2,Rural,Secondary,0,0
2,Rural,Voc/technical/commercial,0,0
2,Rural,Post middle/secondary Certificate,0,0
2,Rural,Post middle/secondary Diploma,0,0
2,Rural,Tertiary/HND,0,0
2,Rural,Tertiary - Bachelor's Degree,0,0
2,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
2,Rural,Tertiary - Master's Degree,0,0
2,Rural,Tertiary - PhD,0,0
2,Rural,Other (specify),0,0
2,Urban,Never attended,1249,1193
2,Urban,Nursery,0,0
2,Urban,Kindergarten,0,0
2,Urban,Primary,0,0
2,Urban,JSS/JHS,0,0
2,Urban,Middle,0,0
2,Urban,SSS/SHS,0,0
2,Urban,Secondary,0,0
2,Urban,Voc/technical/commercial,0,0
2,Urban,Post middle/secondary Certificate,0,0
2,Urban,Post middle/secondary Diploma,0,0
2,Urban,Tertiary/HND,0,0
2,Urban,Tertiary - Bachelor's Degree,0,0
2,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
2,Urban,Tertiary - Master's Degree,0,0
2,Urban,Tertiary - PhD,0,0
2,Urban,Other (specify),0,0
3,Rural,Never attended,631,682
3,Rural,Nursery,103,105
3,Rural,Kindergarten,121,121
3,Rural,Primary,0,0
3,Rural,JSS/JHS,0,0
3,Rural,Middle,0,0
3,Rural,SSS/SHS,0,0
3,Rural,Secondary,0,0
3,Rural,Voc/technical/commercial,0,0
3,Rural,Post middle/secondary Certificate,0,0
3,Rural,Post middle/secondary Diploma,0,0
3,Rural,Tertiary/HND,0,0
3,Rural,Tertiary - Bachelor's Degree,0,0
3,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
3,Rural,Tertiary - Master's Degree,0,0
3,Rural,Tertiary - PhD,0,0
3,Rural,Other (specify),0,0
3,Urban,Never attended,709,761
3,Urban,Nursery,333,346
3,Urban,Kindergarten,230,253
3,Urban,Primary,0,0
3,Urban,JSS/JHS,0,0
3,Urban,Middle,0,0
3,Urban,SSS/SHS,0,0
3,Urban,Secondary,0,0
3,Urban,Voc/technical/commercial,0,0
3,Urban,Post middle/secondary Certificate,0,0
3,Urban,Post middle/secondary Diploma,0,0
3,Urban,Tertiary/HND,0,0
3,Urban,Tertiary - Bachelor's Degree,0,0
3,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
3,Urban,Tertiary - Master's Degree,0,0
3,Urban,Tertiary - PhD,0,0
3,Urban,Other (specify),0,0
4,Rural,Never attended,460,465
4,Rural,Nursery,183,167
4,Rural,Kindergarten,276,265
4,Rural,Primary,0,0
4,Rural,JSS/JHS,0,0
4,Rural,Middle,0,0
4,Rural,SSS/SHS,0,0
4,Rural,Secondary,0,0
4,Rural,Voc/technical/commercial,0,0
4,Rural,Post middle/secondary Certificate,0,0
4,Rural,Post middle/secondary Diploma,0,0
4,Rural,Tertiary/HND,0,0
4,Rural,Tertiary - Bachelor's Degree,0,0
4,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
4,Rural,Tertiary - Master's Degree,0,0
4,Rural,Tertiary - PhD,0,0
4,Rural,Other (specify),0,0
4,Urban,Never attended,453,484
4,Urban,Nursery,369,365
4,Urban,Kindergarten,603,551
4,Urban,Primary,0,0
4,Urban,JSS/JHS,0,0
4,Urban,Middle,0,0
4,Urban,SSS/SHS,0,0
4,Urban,Secondary,0,0
4,Urban,Voc/technical/commercial,0,0
4,Urban,Post middle/secondary Certificate,0,0
4,Urban,Post middle/secondary Diploma,0,0
4,Urban,Tertiary/HND,0,0
4,Urban,Tertiary - Bachelor's Degree,0,0
4,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
4,Urban,Tertiary - Master's Degree,0,0
4,Urban,Tertiary - PhD,0,0
4,Urban,Other (specify),0,0
9-May,Rural,Never attended,1128,1245
9-May,Rural,Nursery,134,115
9-May,Rural,Kindergarten,568,502
9-May,Rural,Primary,2034,1689
9-May,Rural,JSS/JHS,0,0
9-May,Rural,Middle,0,0
9-May,Rural,SSS/SHS,0,0
9-May,Rural,Secondary,0,0
9-May,Rural,Voc/technical/commercial,0,0
9-May,Rural,Post middle/secondary Certificate,0,0
9-May,Rural,Post middle/secondary Diploma,0,0
9-May,Rural,Tertiary/HND,0,0
9-May,Rural,Tertiary - Bachelor's Degree,0,0
9-May,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
9-May,Rural,Tertiary - Master's Degree,0,0
9-May,Rural,Tertiary - PhD,0,0
9-May,Rural,Other (specify),0,0
9-May,Urban,Never attended,780,980
9-May,Urban,Nursery,262,248
9-May,Urban,Kindergarten,1185,1064
9-May,Urban,Primary,3808,3515
9-May,Urban,JSS/JHS,0,0
9-May,Urban,Middle,0,0
9-May,Urban,SSS/SHS,0,0
9-May,Urban,Secondary,0,0
9-May,Urban,Voc/technical/commercial,0,0
9-May,Urban,Post middle/secondary Certificate,0,0
9-May,Urban,Post middle/secondary Diploma,0,0
9-May,Urban,Tertiary/HND,0,0
9-May,Urban,Tertiary - Bachelor's Degree,0,0
9-May,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
9-May,Urban,Tertiary - Master's Degree,0,0
9-May,Urban,Tertiary - PhD,0,0
9-May,Urban,Other (specify),0,0
5,Rural,Never attended,306,329
5,Rural,Nursery,133,114
5,Rural,Kindergarten,239,250
5,Rural,Primary,174,129
5,Rural,JSS/JHS,0,0
5,Rural,Middle,0,0
5,Rural,SSS/SHS,0,0
5,Rural,Secondary,0,0
5,Rural,Voc/technical/commercial,0,0
5,Rural,Post middle/secondary Certificate,0,0
5,Rural,Post middle/secondary Diploma,0,0
5,Rural,Tertiary/HND,0,0
5,Rural,Tertiary - Bachelor's Degree,0,0
5,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
5,Rural,Tertiary - Master's Degree,0,0
5,Rural,Tertiary - PhD,0,0
5,Rural,Other (specify),0,0
5,Urban,Never attended,274,330
5,Urban,Nursery,262,247
5,Urban,Kindergarten,491,463
5,Urban,Primary,308,301
5,Urban,JSS/JHS,0,0
5,Urban,Middle,0,0
5,Urban,SSS/SHS,0,0
5,Urban,Secondary,0,0
5,Urban,Voc/technical/commercial,0,0
5,Urban,Post middle/secondary Certificate,0,0
5,Urban,Post middle/secondary Diploma,0,0
5,Urban,Tertiary/HND,0,0
5,Urban,Tertiary - Bachelor's Degree,0,0
5,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
5,Urban,Tertiary - Master's Degree,0,0
5,Urban,Tertiary - PhD,0,0
5,Urban,Other (specify),0,0
6,Rural,Never attended,263,279
6,Rural,Nursery,0,0
6,Rural,Kindergarten,191,154
6,Rural,Primary,365,336
6,Rural,JSS/JHS,0,0
6,Rural,Middle,0,0
6,Rural,SSS/SHS,0,0
6,Rural,Secondary,0,0
6,Rural,Voc/technical/commercial,0,0
6,Rural,Post middle/secondary Certificate,0,0
6,Rural,Post middle/secondary Diploma,0,0
6,Rural,Tertiary/HND,0,0
6,Rural,Tertiary - Bachelor's Degree,0,0
6,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
6,Rural,Tertiary - Master's Degree,0,0
6,Rural,Tertiary - PhD,0,0
6,Rural,Other (specify),0,0
6,Urban,Never attended,183,200
6,Urban,Nursery,0,0
6,Urban,Kindergarten,421,368
6,Urban,Primary,712,633
6,Urban,JSS/JHS,0,0
6,Urban,Middle,0,0
6,Urban,SSS/SHS,0,0
6,Urban,Secondary,0,0
6,Urban,Voc/technical/commercial,0,0
6,Urban,Post middle/secondary Certificate,0,0
6,Urban,Post middle/secondary Diploma,0,0
6,Urban,Tertiary/HND,0,0
6,Urban,Tertiary - Bachelor's Degree,0,0
6,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
6,Urban,Tertiary - Master's Degree,0,0
6,Urban,Tertiary - PhD,0,0
6,Urban,Other (specify),0,0
7,Rural,Never attended,213,226
7,Rural,Nursery,0,0
7,Rural,Kindergarten,135,96
7,Rural,Primary,445,352
7,Rural,JSS/JHS,0,0
7,Rural,Middle,0,0
7,Rural,SSS/SHS,0,0
7,Rural,Secondary,0,0
7,Rural,Voc/technical/commercial,0,0
7,Rural,Post middle/secondary Certificate,0,0
7,Rural,Post middle/secondary Diploma,0,0
7,Rural,Tertiary/HND,0,0
7,Rural,Tertiary - Bachelor's Degree,0,0
7,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
7,Rural,Tertiary - Master's Degree,0,0
7,Rural,Tertiary - PhD,0,0
7,Rural,Other (specify),0,0
7,Urban,Never attended,114,171
7,Urban,Nursery,0,0
7,Urban,Kindergarten,271,230
7,Urban,Primary,792,779
7,Urban,JSS/JHS,0,0
7,Urban,Middle,0,0
7,Urban,SSS/SHS,0,0
7,Urban,Secondary,0,0
7,Urban,Voc/technical/commercial,0,0
7,Urban,Post middle/secondary Certificate,0,0
7,Urban,Post middle/secondary Diploma,0,0
7,Urban,Tertiary/HND,0,0
7,Urban,Tertiary - Bachelor's Degree,0,0
7,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
7,Urban,Tertiary - Master's Degree,0,0
7,Urban,Tertiary - PhD,0,0
7,Urban,Other (specify),0,0
8,Rural,Never attended,192,214
8,Rural,Nursery,1,1
8,Rural,Kindergarten,2,1
8,Rural,Primary,540,468
8,Rural,JSS/JHS,0,0
8,Rural,Middle,0,0
8,Rural,SSS/SHS,0,0
8,Rural,Secondary,0,0
8,Rural,Voc/technical/commercial,0,0
8,Rural,Post middle/secondary Certificate,0,0
8,Rural,Post middle/secondary Diploma,0,0
8,Rural,Tertiary/HND,0,0
8,Rural,Tertiary - Bachelor's Degree,0,0
8,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
8,Rural,Tertiary - Master's Degree,0,0
8,Rural,Tertiary - PhD,0,0
8,Rural,Other (specify),0,0
8,Urban,Never attended,109,124
8,Urban,Nursery,0,1
8,Urban,Kindergarten,0,2
8,Urban,Primary,1020,909
8,Urban,JSS/JHS,0,0
8,Urban,Middle,0,0
8,Urban,SSS/SHS,0,0
8,Urban,Secondary,0,0
8,Urban,Voc/technical/commercial,0,0
8,Urban,Post middle/secondary Certificate,0,0
8,Urban,Post middle/secondary Diploma,0,0
8,Urban,Tertiary/HND,0,0
8,Urban,Tertiary - Bachelor's Degree,0,0
8,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
8,Urban,Tertiary - Master's Degree,0,0
8,Urban,Tertiary - PhD,0,0
8,Urban,Other (specify),0,0
9,Rural,Never attended,154,197
9,Rural,Nursery,0,0
9,Rural,Kindergarten,1,1
9,Rural,Primary,510,404
9,Rural,JSS/JHS,0,0
9,Rural,Middle,0,0
9,Rural,SSS/SHS,0,0
9,Rural,Secondary,0,0
9,Rural,Voc/technical/commercial,0,0
9,Rural,Post middle/secondary Certificate,0,0
9,Rural,Post middle/secondary Diploma,0,0
9,Rural,Tertiary/HND,0,0
9,Rural,Tertiary - Bachelor's Degree,0,0
9,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
9,Rural,Tertiary - Master's Degree,0,0
9,Rural,Tertiary - PhD,0,0
9,Rural,Other (specify),0,0
9,Urban,Never attended,100,155
9,Urban,Nursery,0,0
9,Urban,Kindergarten,2,1
9,Urban,Primary,976,893
9,Urban,JSS/JHS,0,0
9,Urban,Middle,0,0
9,Urban,SSS/SHS,0,0
9,Urban,Secondary,0,0
9,Urban,Voc/technical/commercial,0,0
9,Urban,Post middle/secondary Certificate,0,0
9,Urban,Post middle/secondary Diploma,0,0
9,Urban,Tertiary/HND,0,0
9,Urban,Tertiary - Bachelor's Degree,0,0
9,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
9,Urban,Tertiary - Master's Degree,0,0
9,Urban,Tertiary - PhD,0,0
9,Urban,Other (specify),0,0
14-Oct,Rural,Never attended,690,827
14-Oct,Rural,Nursery,1,1
14-Oct,Rural,Kindergarten,2,1
14-Oct,Rural,Primary,1875,1430
14-Oct,Rural,JSS/JHS,338,236
14-Oct,Rural,Middle,0,0
14-Oct,Rural,SSS/SHS,4,3
14-Oct,Rural,Secondary,0,0
14-Oct,Rural,Voc/technical/commercial,0,0
14-Oct,Rural,Post middle/secondary Certificate,0,0
14-Oct,Rural,Post middle/secondary Diploma,0,0
14-Oct,Rural,Tertiary/HND,0,0
14-Oct,Rural,Tertiary - Bachelor's Degree,0,0
14-Oct,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
14-Oct,Rural,Tertiary - Master's Degree,0,0
14-Oct,Rural,Tertiary - PhD,0,0
14-Oct,Rural,Other (specify),0,0
14-Oct,Urban,Never attended,376,528
14-Oct,Urban,Nursery,1,1
14-Oct,Urban,Kindergarten,1,0
14-Oct,Urban,Primary,3304,2866
14-Oct,Urban,JSS/JHS,743,678
14-Oct,Urban,Middle,0,0
14-Oct,Urban,SSS/SHS,10,5
14-Oct,Urban,Secondary,3,0
14-Oct,Urban,Voc/technical/commercial,0,0
14-Oct,Urban,Post middle/secondary Certificate,0,0
14-Oct,Urban,Post middle/secondary Diploma,0,0
14-Oct,Urban,Tertiary/HND,0,0
14-Oct,Urban,Tertiary - Bachelor's Degree,0,0
14-Oct,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
14-Oct,Urban,Tertiary - Master's Degree,0,0
14-Oct,Urban,Tertiary - PhD,0,0
14-Oct,Urban,Other (specify),0,0
10,Rural,Never attended,183,208
10,Rural,Nursery,0,0
10,Rural,Kindergarten,1,0
10,Rural,Primary,517,377
10,Rural,JSS/JHS,17,5
10,Rural,Middle,0,0
10,Rural,SSS/SHS,0,0
10,Rural,Secondary,0,0
10,Rural,Voc/technical/commercial,0,0
10,Rural,Post middle/secondary Certificate,0,0
10,Rural,Post middle/secondary Diploma,0,0
10,Rural,Tertiary/HND,0,0
10,Rural,Tertiary - Bachelor's Degree,0,0
10,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
10,Rural,Tertiary - Master's Degree,0,0
10,Rural,Tertiary - PhD,0,0
10,Rural,Other (specify),0,0
10,Urban,Never attended,94,105
10,Urban,Nursery,1,0
10,Urban,Kindergarten,0,0
10,Urban,Primary,963,796
10,Urban,JSS/JHS,40,31
10,Urban,Middle,0,0
10,Urban,SSS/SHS,0,0
10,Urban,Secondary,0,0
10,Urban,Voc/technical/commercial,0,0
10,Urban,Post middle/secondary Certificate,0,0
10,Urban,Post middle/secondary Diploma,0,0
10,Urban,Tertiary/HND,0,0
10,Urban,Tertiary - Bachelor's Degree,0,0
10,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
10,Urban,Tertiary - Master's Degree,0,0
10,Urban,Tertiary - PhD,0,0
10,Urban,Other (specify),0,0
11,Rural,Never attended,109,158
11,Rural,Nursery,0,0
11,Rural,Kindergarten,1,1
11,Rural,Primary,396,375
11,Rural,JSS/JHS,18,20
11,Rural,Middle,0,0
11,Rural,SSS/SHS,0,0
11,Rural,Secondary,0,0
11,Rural,Voc/technical/commercial,0,0
11,Rural,Post middle/secondary Certificate,0,0
11,Rural,Post middle/secondary Diploma,0,0
11,Rural,Tertiary/HND,0,0
11,Rural,Tertiary - Bachelor's Degree,0,0
11,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
11,Rural,Tertiary - Master's Degree,0,0
11,Rural,Tertiary - PhD,0,0
11,Rural,Other (specify),0,0
11,Urban,Never attended,69,123
11,Urban,Nursery,0,1
11,Urban,Kindergarten,0,0
11,Urban,Primary,719,671
11,Urban,JSS/JHS,43,48
11,Urban,Middle,0,0
11,Urban,SSS/SHS,0,0
11,Urban,Secondary,0,0
11,Urban,Voc/technical/commercial,0,0
11,Urban,Post middle/secondary Certificate,0,0
11,Urban,Post middle/secondary Diploma,0,0
11,Urban,Tertiary/HND,0,0
11,Urban,Tertiary - Bachelor's Degree,0,0
11,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
11,Urban,Tertiary - Master's Degree,0,0
11,Urban,Tertiary - PhD,0,0
11,Urban,Other (specify),0,0
12,Rural,Never attended,147,158
12,Rural,Nursery,0,0
12,Rural,Kindergarten,0,0
12,Rural,Primary,417,316
12,Rural,JSS/JHS,61,38
12,Rural,Middle,0,0
12,Rural,SSS/SHS,0,0
12,Rural,Secondary,0,0
12,Rural,Voc/technical/commercial,0,0
12,Rural,Post middle/secondary Certificate,0,0
12,Rural,Post middle/secondary Diploma,0,0
12,Rural,Tertiary/HND,0,0
12,Rural,Tertiary - Bachelor's Degree,0,0
12,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
12,Rural,Tertiary - Master's Degree,0,0
12,Rural,Tertiary - PhD,0,0
12,Rural,Other (specify),0,0
12,Urban,Never attended,78,130
12,Urban,Nursery,0,0
12,Urban,Kindergarten,1,0
12,Urban,Primary,706,611
12,Urban,JSS/JHS,160,139
12,Urban,Middle,0,0
12,Urban,SSS/SHS,1,0
12,Urban,Secondary,2,0
12,Urban,Voc/technical/commercial,0,0
12,Urban,Post middle/secondary Certificate,0,0
12,Urban,Post middle/secondary Diploma,0,0
12,Urban,Tertiary/HND,0,0
12,Urban,Tertiary - Bachelor's Degree,0,0
12,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
12,Urban,Tertiary - Master's Degree,0,0
12,Urban,Tertiary - PhD,0,0
12,Urban,Other (specify),0,0
13,Rural,Never attended,143,152
13,Rural,Nursery,0,1
13,Rural,Kindergarten,0,0
13,Rural,Primary,305,219
13,Rural,JSS/JHS,94,73
13,Rural,Middle,0,0
13,Rural,SSS/SHS,2,1
13,Rural,Secondary,0,0
13,Rural,Voc/technical/commercial,0,0
13,Rural,Post middle/secondary Certificate,0,0
13,Rural,Post middle/secondary Diploma,0,0
13,Rural,Tertiary/HND,0,0
13,Rural,Tertiary - Bachelor's Degree,0,0
13,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
13,Rural,Tertiary - Master's Degree,0,0
13,Rural,Tertiary - PhD,0,0
13,Rural,Other (specify),0,0
13,Urban,Never attended,62,77
13,Urban,Nursery,0,0
13,Urban,Kindergarten,0,0
13,Urban,Primary,561,473
13,Urban,JSS/JHS,219,188
13,Urban,Middle,0,0
13,Urban,SSS/SHS,3,2
13,Urban,Secondary,0,0
13,Urban,Voc/technical/commercial,0,0
13,Urban,Post middle/secondary Certificate,0,0
13,Urban,Post middle/secondary Diploma,0,0
13,Urban,Tertiary/HND,0,0
13,Urban,Tertiary - Bachelor's Degree,0,0
13,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
13,Urban,Tertiary - Master's Degree,0,0
13,Urban,Tertiary - PhD,0,0
13,Urban,Other (specify),0,0
14,Rural,Never attended,108,151
14,Rural,Nursery,1,0
14,Rural,Kindergarten,0,0
14,Rural,Primary,240,143
14,Rural,JSS/JHS,148,100
14,Rural,Middle,0,0
14,Rural,SSS/SHS,2,2
14,Rural,Secondary,0,0
14,Rural,Voc/technical/commercial,0,0
14,Rural,Post middle/secondary Certificate,0,0
14,Rural,Post middle/secondary Diploma,0,0
14,Rural,Tertiary/HND,0,0
14,Rural,Tertiary - Bachelor's Degree,0,0
14,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
14,Rural,Tertiary - Master's Degree,0,0
14,Rural,Tertiary - PhD,0,0
14,Rural,Other (specify),0,0
14,Urban,Never attended,73,93
14,Urban,Nursery,0,0
14,Urban,Kindergarten,0,0
14,Urban,Primary,355,315
14,Urban,JSS/JHS,281,272
14,Urban,Middle,0,0
14,Urban,SSS/SHS,6,3
14,Urban,Secondary,1,0
14,Urban,Voc/technical/commercial,0,0
14,Urban,Post middle/secondary Certificate,0,0
14,Urban,Post middle/secondary Diploma,0,0
14,Urban,Tertiary/HND,0,0
14,Urban,Tertiary - Bachelor's Degree,0,0
14,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
14,Urban,Tertiary - Master's Degree,0,0
14,Urban,Tertiary - PhD,0,0
14,Urban,Other (specify),0,0
15 years to 64 years,Rural,Never attended,6454,9489
15 years to 64 years,Rural,Nursery,6,2
15 years to 64 years,Rural,Kindergarten,0,4
15 years to 64 years,Rural,Primary,637,468
15 years to 64 years,Rural,JSS/JHS,1761,1074
15 years to 64 years,Rural,Middle,23,3
15 years to 64 years,Rural,SSS/SHS,1452,685
15 years to 64 years,Rural,Secondary,43,11
15 years to 64 years,Rural,Voc/technical/commercial,39,8
15 years to 64 years,Rural,Post middle/secondary Certificate,7,3
15 years to 64 years,Rural,Post middle/secondary Diploma,55,10
15 years to 64 years,Rural,Tertiary/HND,173,76
15 years to 64 years,Rural,Tertiary - Bachelor's Degree,185,46
15 years to 64 years,Rural,Tertiary - Post graduate Certificate/Diploma,89,10
15 years to 64 years,Rural,Tertiary - Master's Degree,10,1
15 years to 64 years,Rural,Tertiary - PhD,4,0
15 years to 64 years,Rural,Other (specify),7,0
15 years to 64 years,Urban,Never attended,7615,13564
15 years to 64 years,Urban,Nursery,2,5
15 years to 64 years,Urban,Kindergarten,5,6
15 years to 64 years,Urban,Primary,962,799
15 years to 64 years,Urban,JSS/JHS,3301,2672
15 years to 64 years,Urban,Middle,64,27
15 years to 64 years,Urban,SSS/SHS,4931,3564
15 years to 64 years,Urban,Secondary,179,65
15 years to 64 years,Urban,Voc/technical/commercial,116,59
15 years to 64 years,Urban,Post middle/secondary Certificate,73,48
15 years to 64 years,Urban,Post middle/secondary Diploma,278,144
15 years to 64 years,Urban,Tertiary/HND,621,276
15 years to 64 years,Urban,Tertiary - Bachelor's Degree,830,210
15 years to 64 years,Urban,Tertiary - Post graduate Certificate/Diploma,764,312
15 years to 64 years,Urban,Tertiary - Master's Degree,115,14
15 years to 64 years,Urban,Tertiary - PhD,12,3
15 years to 64 years,Urban,Other (specify),12,1
15-19,Rural,Never attended,621,757
15-19,Rural,Nursery,0,1
15-19,Rural,Kindergarten,0,1
